iter	Passed	Remaining
0	151	151682
1	155	77682
2	159	52920
3	163	40604
4	166	33163
5	170	28226
6	174	24705
7	178	22082
8	181	20039
9	185	18397
10	190	17140
11	197	16233
12	201	15281
13	206	14575
14	210	13850
15	214	13202
16	218	12654
17	222	12146
18	226	11691
19	230	11275
20	233	10907
21	237	10568
22	241	10254
23	245	9979
24	249	9726
25	253	9480
26	256	9250
27	262	9119
28	266	8911
29	269	8725
30	274	8566
31	278	8429
32	282	8272
33	285	8121
34	289	7979
35	293	7861
36	297	7736
37	301	7621
38	304	7505
39	308	7395
40	311	7289
41	315	7196
42	319	7100
43	322	7011
44	326	6922
45	331	6876
46	335	6793
47	337	6693
48	339	6597
49	342	6511
50	346	6443
51	349	6378
52	351	6280
53	352	6183
54	354	6090
55	355	6000
56	357	5915
57	358	5830
58	360	5744
59	361	5661
60	362	5581
61	363	5505
62	365	5431
63	366	5358
64	367	5287
65	369	5227
66	370	5166
67	371	5095
68	373	5037
69	374	4981
70	376	4926
71	378	4872
72	379	4823
73	381	4779
74	383	4733
75	385	4689
76	387	4647
77	389	4602
78	391	4559
79	392	4516
80	394	4474
81	396	4435
82	398	4398
83	399	4360
84	400	4315
85	402	4277
86	403	4234
87	405	4197
88	408	4176
89	410	4153
90	412	4124
91	415	4102
92	417	4069
93	419	4042
94	422	4025
95	424	4000
96	427	3980
97	429	3949
98	430	3919
99	432	3892
100	434	3864
101	435	3831
102	437	3805
103	438	3777
104	439	3749
105	441	3719
106	442	3691
107	443	3662
108	444	3634
109	445	3607
110	447	3580
111	448	3554
112	449	3529
113	450	3503
114	451	3478
115	452	3451
116	454	3427
117	455	3402
118	456	3377
119	457	3353
120	458	3331
121	459	3308
122	460	3282
123	461	3260
124	462	3240
125	464	3218
126	465	3197
127	465	3174
128	467	3154
129	468	3134
130	469	3114
131	470	3095
132	471	3076
133	473	3057
134	474	3039
135	475	3020
136	477	3004
137	479	2992
138	481	2981
139	483	2971
140	484	2954
141	486	2937
142	487	2921
143	488	2904
144	489	2888
145	491	2873
146	492	2858
147	493	2842
148	494	2826
149	496	2811
150	497	2796
151	498	2781
152	499	2766
153	500	2751
154	502	2736
155	503	2721
156	504	2708
157	505	2694
158	506	2680
159	507	2666
160	509	2653
161	510	2640
162	511	2626
163	512	2613
164	513	2600
165	515	2588
166	516	2575
167	517	2562
168	518	2550
169	519	2538
170	521	2526
171	522	2514
172	523	2502
173	524	2491
174	525	2479
175	527	2467
176	528	2456
177	529	2445
178	530	2433
179	531	2422
180	532	2409
181	533	2398
182	534	2388
183	536	2377
184	537	2366
185	538	2356
186	539	2346
187	540	2336
188	542	2325
189	543	2315
190	544	2305
191	545	2296
192	547	2287
193	548	2277
194	549	2268
195	550	2258
196	551	2248
197	552	2239
198	553	2229
199	555	2220
200	556	2211
201	557	2202
202	558	2193
203	559	2184
204	561	2176
205	562	2167
206	563	2158
207	564	2150
208	565	2141
209	567	2133
210	568	2125
211	569	2116
212	570	2108
213	571	2100
214	573	2092
215	574	2084
216	575	2077
217	576	2069
218	577	2061
219	579	2053
220	580	2045
221	581	2037
222	582	2030
223	583	2022
224	585	2015
225	586	2007
226	587	2000
227	588	1992
228	589	1985
229	590	1978
230	592	1971
231	593	1964
232	594	1956
233	595	1949
234	596	1942
235	597	1935
236	599	1928
237	600	1921
238	605	1926
239	607	1923
240	608	1916
