iter	Passed	Remaining
0	156	156823
1	182	91039
2	229	76202
3	232	57977
4	250	49902
5	257	42731
6	260	37007
7	263	32713
8	266	29359
9	270	26782
10	273	24590
11	276	22724
12	290	22033
13	323	22795
14	326	21428
15	329	20252
16	332	19243
17	336	18375
18	339	17542
19	342	16772
20	346	16135
21	349	15557
22	367	15604
23	370	15050
24	373	14577
25	383	14351
26	385	13909
27	389	13507
28	398	13356
29	402	13015
30	405	12661
31	411	12458
32	449	13180
33	452	12859
34	456	12573
35	465	12477
36	469	12228
37	479	12128
38	488	12026
39	504	12097
40	519	12145
41	527	12040
42	530	11799
43	532	11569
44	542	11515
45	546	11343
46	625	12686
47	628	12463
48	639	12420
49	644	12243
50	648	12057
51	653	11905
52	657	11751
53	661	11593
54	676	11615
55	681	11488
56	685	11339
57	687	11173
58	690	11009
59	695	10890
60	699	10770
61	702	10631
62	705	10493
63	718	10511
64	721	10373
65	722	10231
66	733	10220
67	736	10089
68	739	9975
69	748	9947
70	751	9835
71	757	9763
72	760	9661
73	762	9545
74	765	9444
75	780	9486
76	782	9380
77	792	9362
78	795	9271
79	797	9173
80	802	9099
81	806	9025
82	807	8918
83	809	8825
84	813	8753
85	828	8808
86	839	8808
87	842	8726
88	844	8646
89	847	8568
90	854	8537
91	858	8477
92	861	8402
93	868	8370
94	873	8325
95	876	8254
96	883	8225
97	887	8171
98	889	8094
99	891	8019
100	892	7947
101	897	7903
102	900	7844
103	902	7776
104	904	7709
105	906	7646
106	908	7583
107	916	7569
108	918	7506
109	919	7443
110	921	7382
111	923	7322
112	927	7280
113	930	7229
114	934	7190
115	937	7143
116	944	7129
117	951	7115
118	957	7088
119	963	7068
120	966	7018
121	967	6964
122	971	6925
123	976	6901
124	979	6856
125	986	6846
126	994	6839
127	1003	6836
128	1008	6810
129	1012	6772
130	1021	6773
131	1023	6732
132	1028	6706
133	1039	6715
134	1042	6682
135	1057	6716
136	1069	6734
137	1073	6706
138	1083	6711
139	1087	6681
140	1090	6641
141	1091	6596
142	1108	6642
143	1123	6681
144	1135	6695
145	1137	6653
146	1139	6614
147	1147	6607
148	1149	6567
149	1152	6530
150	1154	6493
151	1163	6492
152	1166	6459
153	1172	6443
154	1185	6460
155	1189	6433
156	1196	6425
157	1209	6446
158	1215	6429
159	1219	6401
160	1228	6399
161	1231	6368
162	1233	6333
163	1240	6322
164	1243	6292
165	1247	6267
166	1249	6233
167	1260	6242
168	1311	6447
169	1314	6416
170	1328	6440
171	1331	6410
172	1339	6403
173	1343	6379
174	1346	6346
175	1352	6331
176	1357	6314
177	1361	6285
178	1363	6253
179	1368	6235
180	1371	6208
181	1383	6217
182	1385	6186
183	1387	6154
184	1401	6175
185	1413	6186
186	1420	6176
187	1429	6175
188	1431	6142
189	1446	6164
190	1451	6148
191	1459	6142
192	1474	6164
193	1480	6150
194	1496	6176
195	1500	6155
196	1515	6178
197	1528	6189
198	1532	6169
199	1544	6179
200	1547	6152
201	1556	6148
202	1562	6135
203	1569	6125
204	1575	6108
205	1578	6083
206	1594	6109
207	1602	6103
208	1612	6104
209	1621	6099
210	1635	6115
211	1639	6093
212	1650	6098
213	1660	6098
214	1665	6080
215	1682	6108
216	1686	6085
217	1697	6090
218	1700	6063
219	1728	6129
220	1732	6106
221	1747	6123
222	1750	6097
223	1766	6119
224	1779	6129
225	1784	6109
226	1789	6093
227	1793	6073
228	1807	6084
229	1810	6060
230	1819	6057
231	1826	6044
232	1837	6047
233	1848	6050
234	1855	6040
235	1868	6050
236	1871	6024
237	1873	5998
238	1890	6018
239	1897	6007
240	1901	5988
241	1915	5999
242	1920	5984
243	1933	5989
244	1936	5966
245	1943	5956
246	1948	5941
247	1960	5944
248	1965	5929
249	1968	5905
250	1980	5910
251	1983	5888
252	1986	5865
253	1991	5848
254	1994	5827
255	1998	5807
256	1999	5781
257	2009	5779
258	2012	5756
259	2014	5732
260	2017	5711
261	2026	5707
262	2028	5684
263	2033	5669
264	2045	5674
265	2052	5663
266	2056	5646
267	2060	5626
268	2076	5643
269	2078	5620
270	2089	5621
271	2093	5602
272	2106	5610
273	2110	5591
274	2115	5578
275	2120	5563
276	2123	5542
277	2131	5535
278	2134	5515
279	2138	5498
280	2145	5490
281	2150	5475
282	2152	5453
283	2166	5461
284	2168	5441
285	2171	5422
286	2177	5410
287	2180	5390
288	2187	5382
289	2191	5366
290	2194	5345
291	2207	5353
292	2210	5334
293	2214	5317
294	2217	5298
295	2220	5280
296	2227	5272
297	2230	5253
298	2247	5268
299	2254	5260
300	2259	5246
301	2261	5227
302	2263	5207
303	2267	5190
304	2272	5178
305	2275	5160
306	2277	5141
307	2280	5122
308	2290	5123
309	2297	5112
310	2307	5111
311	2309	5092
312	2315	5081
313	2322	5074
314	2326	5059
315	2329	5041
316	2336	5034
317	2339	5017
318	2342	4999
319	2346	4985
320	2348	4968
321	2353	4955
322	2359	4945
323	2361	4928
324	2368	4918
325	2373	4906
326	2386	4912
327	2391	4899
328	2394	4882
329	2403	4879
330	2407	4865
331	2409	4848
332	2416	4839
333	2423	4833
334	2431	4825
335	2435	4813
336	2438	4796
337	2440	4780
338	2452	4781
339	2454	4764
340	2457	4748
341	2462	4738
342	2471	4734
343	2477	4723
344	2482	4712
345	2485	4697
346	2499	4702
347	2502	4689
348	2506	4675
349	2531	4700
350	2533	4684
351	2544	4684
352	2546	4668
353	2549	4652
354	2557	4647
355	2561	4632
356	2564	4619
357	2569	4607
358	2571	4590
359	2574	4577
360	2579	4566
361	2581	4549
362	2583	4533
363	2585	4517
364	2587	4501
365	2589	4484
366	2591	4469
367	2596	4459
368	2602	4450
369	2605	4436
370	2612	4428
371	2616	4416
372	2618	4401
373	2620	4386
374	2628	4380
375	2630	4366
376	2632	4351
377	2635	4337
378	2640	4326
379	2643	4312
380	2646	4299
381	2651	4289
382	2660	4285
383	2663	4273
384	2665	4258
385	2679	4262
386	2682	4249
387	2688	4240
388	2692	4228
389	2705	4232
390	2710	4222
391	2713	4208
392	2718	4199
393	2722	4186
394	2724	4172
395	2730	4163
396	2737	4157
397	2741	4146
398	2743	4132
399	2747	4121
400	2751	4110
401	2756	4100
402	2760	4088
403	2770	4087
404	2773	4074
405	2776	4062
406	2782	4053
407	2786	4042
408	2788	4029
409	2790	4015
410	2795	4005
411	2799	3995
412	2801	3981
413	2803	3968
414	2805	3954
415	2819	3958
416	2827	3952
417	2833	3945
418	2835	3931
419	2837	3918
420	2851	3921
421	2856	3912
422	2861	3902
423	2863	3890
424	2866	3878
425	2869	3866
426	2873	3855
427	2875	3843
428	2878	3830
429	2887	3827
430	2891	3817
431	2894	3805
432	2900	3798
433	2908	3793
434	2919	3792
435	2925	3784
436	2929	3774
437	2933	3763
438	2935	3751
439	2938	3739
440	2944	3732
441	2947	3721
442	2949	3708
443	2951	3696
444	2966	3699
445	2969	3688
446	2972	3677
447	2976	3667
448	2978	3654
449	2982	3644
450	2994	3645
451	3005	3644
452	3008	3633
453	3011	3621
454	3024	3623
455	3027	3611
456	3036	3608
457	3039	3597
458	3046	3591
459	3053	3584
460	3056	3574
461	3062	3566
462	3066	3556
463	3070	3546
464	3079	3543
465	3083	3533
466	3086	3522
467	3090	3513
468	3094	3503
469	3098	3493
470	3102	3484
